name,time,mean_value
ping4,1505380500000000000,0.034787
ping4,1505380800000000000,0.03429
ping4,1505381100000000000,0.034118
ping4,1505381400000000000,0.034009
ping4,1505381700000000000,0.033723
ping4,1505382000000000000,0.033813
ping4,1505382300000000000,0.033977
ping4,1505382600000000000,0.034271
ping4,1505382900000000000,0.033905
ping4,1505383200000000000,0.033791
ping4,1505383500000000000,0.033774
ping4,1505383800000000000,0.033699
ping4,1505384100000000000,0.033816
ping4,1505384400000000000,0.033879
ping4,1505384700000000000,0.033732
ping4,1505385000000000000,0.033734
ping4,1505385300000000000,0.033689
ping4,1505385600000000000,0.033745
ping4,1505385900000000000,0.033756
ping4,1505386200000000000,0.033771
ping4,1505386500000000000,0.035147
ping4,1505386800000000000,0.034165
ping4,1505387100000000000,0.034244
ping4,1505387400000000000,0.034167
ping4,1505387700000000000,0.034151
ping4,1505388000000000000,0.034169
ping4,1505388300000000000,0.034177
ping4,1505388600000000000,0.034174
ping4,1505388900000000000,0.034134
ping4,1505389200000000000,0.033877
ping4,1505389500000000000,0.035086
ping4,1505389800000000000,0.033824
ping4,1505390100000000000,0.034271
ping4,1505390400000000000,0.033934
ping4,1505390700000000000,0.034784
ping4,1505391000000000000,0.033943
ping4,1505391300000000000,0.2
ping4,1505391600000000000,0.2
ping4,1505391900000000000,0.2
ping4,1505392200000000000,0.2
ping4,1505392500000000000,0.2
ping4,1505392800000000000,0.2
ping4,1505393100000000000,0.2
ping4,1505393400000000000,0.2
ping4,1505393700000000000,0.2
ping4,1505394000000000000,0.2
ping4,1505394300000000000,0.2
ping4,1505394600000000000,0.2
ping4,1505394900000000000,0.2
ping4,1505395200000000000,0.2
ping4,1505395500000000000,0.2
ping4,1505395800000000000,0.2
ping4,1505396100000000000,0.2
ping4,1505396400000000000,0.2
ping4,1505396700000000000,0.2
ping4,1505397000000000000,0.2
ping4,1505397300000000000,0.2
ping4,1505397600000000000,0.2
ping4,1505397900000000000,0.2
ping4,1505398200000000000,0.2
ping4,1505398500000000000,0.2
ping4,1505398800000000000,0.2
ping4,1505399100000000000,0.2
ping4,1505399400000000000,0.2
ping4,1505399700000000000,0.2
ping4,1505400000000000000,0.2
ping4,1505400300000000000,0.2
ping4,1505400600000000000,0.2
ping4,1505400900000000000,0.2
ping4,1505401200000000000,0.2
ping4,1505401500000000000,0.2
ping4,1505401800000000000,0.2
ping4,1505402100000000000,0.2
ping4,1505402400000000000,0.2
ping4,1505402700000000000,0.2
ping4,1505403000000000000,0.2
ping4,1505403300000000000,0.2
ping4,1505403600000000000,0.2
ping4,1505403900000000000,0.2
ping4,1505404200000000000,0.2
ping4,1505404500000000000,0.2
ping4,1505404800000000000,0.2
ping4,1505405100000000000,0.2
ping4,1505405400000000000,0.2
ping4,1505405700000000000,0.2
ping4,1505406000000000000,0.2
ping4,1505406300000000000,0.2
ping4,1505406600000000000,0.2
ping4,1505406900000000000,0.2
ping4,1505407200000000000,0.2
ping4,1505407500000000000,0.2
ping4,1505407800000000000,0.2
ping4,1505408100000000000,0.2
ping4,1505408400000000000,0.2
ping4,1505408700000000000,0.2
ping4,1505409000000000000,0.2
ping4,1505409300000000000,0.2
ping4,1505409600000000000,0.2
ping4,1505409900000000000,0.2
ping4,1505410200000000000,0.2
ping4,1505410500000000000,0.2
ping4,1505410800000000000,0.2
ping4,1505411100000000000,0.2
ping4,1505411400000000000,0.2
ping4,1505411700000000000,0.2
ping4,1505412000000000000,0.2
ping4,1505412300000000000,0.2
ping4,1505412600000000000,0.2
ping4,1505412900000000000,0.2
ping4,1505413200000000000,0.2
ping4,1505413500000000000,0.2
ping4,1505413800000000000,0.2
ping4,1505414100000000000,0.2
ping4,1505414400000000000,0.2
ping4,1505414700000000000,0.2
ping4,1505415000000000000,0.2
ping4,1505415300000000000,0.2
ping4,1505415600000000000,0.2
ping4,1505415900000000000,0.2
ping4,1505416200000000000,0.2
ping4,1505416500000000000,0.2
ping4,1505416800000000000,0.2
ping4,1505417100000000000,0.2
ping4,1505417400000000000,0.2
ping4,1505417700000000000,0.2
ping4,1505418000000000000,0.2
ping4,1505418300000000000,0.2
ping4,1505418600000000000,0.2
ping4,1505418900000000000,0.2
ping4,1505419200000000000,0.2
ping4,1505419500000000000,0.2
ping4,1505419800000000000,0.2
ping4,1505420100000000000,0.2
ping4,1505420400000000000,0.2
